user_id	original_image	face_id	age	gender	x	y	dx	dy	tilt_ang	fiducial_yaw_angle	fiducial_score
30601258@N03	10399646885_67c7d20df9_o.jpg	1	(25, 32)	f	0	414	1086	1383	-115	30	17
30601258@N03	10424815813_e94629b1ec_o.jpg	2	(25, 32)	m	301	105	640	641	0	0	94
30601258@N03	10437979845_5985be4b26_o.jpg	1	(25, 32)	f	2395	876	771	771	175	-30	74
30601258@N03	10437979845_5985be4b26_o.jpg	3	(25, 32)	m	752	1255	484	485	180	0	47
30601258@N03	11816644924_075c3d8d59_o.jpg	2	(25, 32)	m	175	80	769	768	-75	0	34
30601258@N03	11562582716_dbc2eb8002_o.jpg	1	(25, 32)	f	0	422	1332	1498	-100	15	54
30601258@N03	10424595844_1009c687e4_o.jpg	4	(38, 43)	f	1912	905	1224	1224	155	0	64
30601258@N03	9506931745_796300ca4a_o.jpg	5	(25, 32)	f	1069	581	1575	1575	0	30	131
30601258@N03	10190308156_5c748ab2da_o.jpg	5	(25, 32)	f	474	1893	485	484	-115	30	55
30601258@N03	10190308156_5c748ab2da_o.jpg	2	(25, 32)	m	1013	1039	453	452	-75	0	59
30601258@N03	11624488765_9db0b93c94_o.jpg	2	(25, 32)	m	101	56	740	740	-90	0	75
30601258@N03	10204739113_0e2ae11708_o.jpg	6	(25, 32)	m	336	640	841	842	-85	0	94
30601258@N03	10204739113_0e2ae11708_o.jpg	1	(25, 32)	f	693	247	720	720	-85	30	132
30601258@N03	11518638385_cac7193c86_o.jpg	2	(25, 32)	m	87	20	728	728	-95	0	79
30601258@N03	11341941104_2bcd4b99e0_o.jpg	1	(25, 32)	f	1039	1432	624	625	185	30	120
30601258@N03	11431644464_5510e0b7e9_o.jpg	2	(25, 32)	m	223	58	780	781	-85	0	40
30601258@N03	11562657036_5fe2235bed_o.jpg	5	(25, 32)	f	518	234	444	444	-15	0	78
30601258@N03	11438175534_c13ee0375c_o.jpg	2	(25, 32)	m	890	229	746	746	-105	30	132
30601258@N03	11438175534_c13ee0375c_o.jpg	1	(25, 32)	f	996	1222	733	733	-85	0	109
30601258@N03	10571000386_90e4070c7c_o.jpg	2	(25, 32)	m	596	156	684	688	-5	0	28
30601258@N03	10491630366_5cc645056d_o.jpg	4	(38, 43)	f	1683	921	573	573	170	0	68
30601258@N03	10438007716_1fc791bce6_o.jpg	1	(25, 32)	f	353	253	829	829	-70	15	91
30601258@N03	9731074481_5821415708_o.jpg	2	(25, 32)	m	218	191	736	736	-90	0	29
30601258@N03	11097047226_42eb0e0a1f_o.jpg	2	(25, 32)	m	19	126	712	712	-105	15	52
30601258@N03	11167478633_afa18032b6_o.jpg	2	(25, 32)	m	615	411	1083	1083	5	0	28
30601258@N03	10438008125_7d673b3b16_o.jpg	2	(25, 32)	m	0	0	886	909	-90	0	100
8034587@N06	11299162995_7f35d4ca19_o.jpg	699	(4, 6)	f	1007	648	758	759	-90	0	55
8034587@N06	11299390836_0e5e2ba387_o.jpg	700	(0, 2)	u	239	384	2040	2040	-80	15	67
8034587@N06	11299000103_2e0c2494a9_o.jpg	700	(0, 2)	u	293	320	1810	1810	-100	0	47
8034587@N06	11298947704_35b6d491e9_o.jpg	699	(4, 6)	f	64	219	776	741	-90	0	80
8034587@N06	11298860213_3cfa9b4e65_o.jpg	699	(4, 6)	f	494	843	663	663	-85	0	49
8034587@N06	11298885345_e710f03a1b_o.jpg	699	(4, 6)	f	167	74	804	804	-85	0	189
8034587@N06	11299440883_599e709d5c_o.jpg	700	(0, 2)	u	438	570	1288	1288	-105	30	56
8034587@N06	11298791744_1f237d4ba4_o.jpg	699	(4, 6)	f	411	83	869	877	-95	0	81
8034587@N06	11299134505_15793585d9_o.jpg	700	(0, 2)	u	31	688	848	848	-110	0	117
8034587@N06	11299523154_1fc4b1f467_o.jpg	700	(0, 2)	u	953	847	981	982	-110	30	47
8034587@N06	11298723495_5d0d5e1396_o.jpg	700	(0, 2)	u	153	522	1606	1607	-95	0	123
8034587@N06	11299332095_904396a871_o.jpg	700	(0, 2)	u	897	929	790	790	-90	0	87
8034587@N06	11299537685_fb8b67eab6_o.jpg	699	(4, 6)	f	1305	1206	484	484	-85	0	63
8034587@N06	11299166614_0619a4f778_o.jpg	700	(0, 2)	u	363	914	816	816	-80	0	7
8034587@N06	11299945553_dbd8335d39_o.jpg	699	(4, 6)	f	696	427	835	835	-90	0	13
8034587@N06	11298880945_55255c3565_o.jpg	700	(0, 2)	u	576	0	1607	1595	-70	-45	13
8034587@N06	11299537284_8e249acaf8_o.jpg	700	(0, 2)	u	1305	682	605	605	-75	30	82
8034587@N06	11299421653_7cc108f1bd_o.jpg	699	(4, 6)	f	714	670	1000	1001	-100	0	176
8034587@N06	11299425293_70d7701e17_o.jpg	700	(0, 2)	u	269	400	2078	2048	-95	0	142
8034587@N06	11298737866_8405922f0c_o.jpg	699	(4, 6)	f	179	0	1101	939	-70	0	79
8034587@N06	11298886505_bd21dc974c_o.jpg	699	(4, 6)	f	235	72	1004	888	-85	0	171
8034587@N06	11299430423_2120c21811_o.jpg	701	(25, 32)	f	344	527	969	969	-70	0	102
8034587@N06	11299430423_2120c21811_o.jpg	699	(4, 6)	f	1115	1153	752	753	-100	0	83
